Price,Make,Model,Year,Mileage (km),Color,Transmission,Fuel Type,Body Type,Condition,City,Governorate,Age,mileage_band
2280000,Peugeot,3008,2026,2000.0,Black,Automatic,Gas,Hatchback,Used,El Faiyum,El Faiyum,0,0-20K
330000,Opel,Vectra,2003,175000.0,Dark red,Automatic,Gas,Sedan,Used,Sohag,Sohag,23,120-200K
2510000,Volkswagen,Tiguan,2026,5000.0,Silver,Automatic,Gas,SUV,Used,Tanta,Gharbia,0,0-20K
240000,Chery,Envy,2017,105000.0,Petroleum,Manual,Diesel,Sedan,Used,Tagamo3 - New Cairo,Cairo,9,60-120K
125000,Renault,Clio,2003,210000.0,Silver,Manual,Gas,Sedan,Used,El Haram,Giza,23,200K+
750000,Mitsubishi,Lancer,2016,210000.0,Gray,Automatic,Gas,Sedan,Used,Nasr city,Cairo,10,200K+
195000,Renault,Clio,2002,410000.0,Dark blue,Manual,Electric,Sedan,Used,Cairo,Cairo,24,200K+
545000,Renault,Sandero Step Way,2016,90000.0,Black,Automatic,Gas,Hatchback,Used,Smouha,Alexandria,10,60-120K
900000,Isuzu,Trooper,2015,250000.0,White,Manual,Diesel,SUV,Used,Hay El Suez,Suez ,11,200K+
525000,Nissan,Sunny,2012,170000.0,Gray,Automatic,Gas,Sedan,Used,Smouha,Alexandria,14,120-200K
350000,Kia,Picanto,2010,248000.0,Black,Automatic,Gas,Hatchback,Used,Cairo,Cairo,16,200K+
745000,Renault,Megane,2021,138000.0,Dark blue,Automatic,Diesel,Sedan,Used,Kafr el-Sheikh,Kafr el-Sheikh,5,120-200K
680000,Mitsubishi,Lancer EX Shark,2008,170000.0,Other,Automatic,Gas,Sedan,Used,Alexandria,Alexandria,18,120-200K
6800000,BMW,X6 M,2024,39000.0,Dark blue,Automatic,Gas,SUV,Used,Tagamo3 - New Cairo,Cairo,2,20-60K
350000,Hyundai,I10,2010,210000.0,Red,Manual,Gas,Hatchback,Used,Obour City,Cairo,16,200K+
930000,Seat,Leon,2019,175000.0,Red,Automatic,Gas,Hatchback,Used,Kafr el-Sheikh,Kafr el-Sheikh,7,120-200K
800000,Ssang Yong,Tivoli,2018,136000.0,Silver,Automatic,Gas,SUV,Used,Zahraa Al Maadi,Cairo,8,120-200K
280000,Chery,Envy,2017,0.0,Black,Manual,Diesel,Sedan,Used,Tagamo3 - New Cairo,Cairo,9,0-20K
900000,Ssang Yong,Tivoli,2020,107000.0,Dark blue,Automatic,Gas,SUV,Used,Pyramids Gardens,Giza,6,60-120K
2030000,Kia,Sportage,2026,19000.0,Gray,Automatic,Gas,Hatchback,Used,Nasr city,Cairo,0,0-20K
